Preco,Area,Quartos,Banheiros,Vagas,Preco_m2
390000.0,1080.0,2.0,2.0,1.0,361.1111111111111
260000.0,1000.0,3.0,1.0,1.0,260.0
250000.0,600.0,2.0,2.0,1.0,416.6666666666667
420000.0,1250.0,4.0,2.0,1.0,336.0
320000.0,720.0,2.0,1.0,1.0,444.44444444444446
121000.0,1600.0,,,,75.625
360000.0,670.0,2.0,1.0,2.0,537.3134328358209
770000.0,1720.0,3.0,2.0,3.0,447.6744186046512
250000.0,1250.0,3.0,1.0,3.0,200.0
290000.0,700.0,2.0,1.0,1.0,414.2857142857143
370000.0,760.0,2.0,2.0,1.0,486.8421052631579
626000.0,900.0,2.0,3.0,1.0,695.5555555555555
320000.0,850.0,2.0,2.0,1.0,376.47058823529414
400000.0,,2.0,2.0,,
,680.0,,,,
,3980.0,,,4.0,
,440.0,2.0,,,
,1350.0,,,,
,380.0,,,1.0,
,580.0,1.0,,,
1850000.0,2500.0,,,,740.0
,670.0,2.0,,,
650000.0,730.0,,,,890.4109589041096
14900000.0,8190.0,,,,1819.2918192918194
4.4,3300.0,,,,0.0013333333333333335
,6070.0,,,,
,1010.0,2.0,,,
,600.0,2.0,,,
,510.0,3.0,,,
,710.0,3.0,,,
,640.0,2.0,,,
80000.0,3600.0,3.0,,,22.22222222222222
,1040.0,3.0,,,
,1260.0,,,,
570000.0,590.0,,,,966.1016949152543
,3230.0,,,,
